,0.5
0,45286.94563899535
1,45141.70261029641
2,46066.97753894327
3,43356.872848334264
4,45164.62895378177
5,44215.50357853608
6,44948.171791341956
7,48730.58752775901
8,46892.65252903879
9,44029.92526313655
10,44155.04958576745
11,46374.512088061165
12,46461.367712648134
13,46528.5343616469
14,44068.71065926197
15,45399.856737443806
16,46754.99780882028
17,45684.67590880683
18,44990.411514670486
19,46894.69992347704
20,44842.930610824085
21,43962.3563740598
22,44311.83538122972
23,44754.990156247455
24,46854.40515012803
25,47540.34705630484
26,45774.106412786095
27,45689.33796284374
28,48582.17737292739
29,46141.675805565304
0,46621.826072972464
1,45286.39030522757
2,44771.19803936244
3,44806.99529190676
4,44760.69229593114
5,47138.23189073971
6,46055.98907079239
7,46293.93403047339
8,46254.60798131568
9,42597.79727821385
10,44232.37156820107
11,48285.64286321993
12,45591.05887758616
13,46877.220735298615
14,47528.55742346299
15,45994.59433022105
16,44480.02414636365
17,46105.71301836901
18,44411.348230444535
19,47407.580504836165
20,48496.4312918865
21,42807.88378376359
22,44779.145971293445
23,46525.79213773101
24,46231.63289930197
25,42849.51696828784
26,45275.8181198208
27,48310.42776227836
28,45793.29067424636
29,46324.66411961521
0,44950.972287779645
1,43541.81911569131
2,47377.63745171891
3,45142.17867776888
4,45980.38265641268
5,45435.603204517676
6,45326.80204711763
7,44085.9381538118
8,43231.23076521092
9,51620.82261373791
10,49703.072413192895
11,45285.34937133283
12,44726.13138080493
13,43052.02862722487
14,48458.32650760905
15,43564.88783195629
16,44542.78573061609
17,45737.81219430963
18,47918.79211899709
19,46773.00437432423
20,46316.505870088666
21,47060.73371914049
22,42400.88206983478
23,46776.38682916725
24,49313.47536326443
25,44907.951267443255
26,46140.50704521138
27,45182.30376692383
28,46904.58612851821
29,48128.27383674517
0,45543.62539236469
1,47972.707285733115
2,46474.96120793067
3,44538.93276827641
4,44876.59994413397
5,51732.50079363543
6,44914.28281151515
7,43227.75433840323
8,44212.380370338906
9,45303.362420767
10,46008.8593209436
11,45319.28999854553
12,47746.37749028707
13,47610.36577707814
14,51326.40381396816
15,48119.03072072424
16,46347.735254052874
17,45394.56531663979
18,44376.959240215234
19,47626.89695125583
20,44733.838252188485
21,47485.92793972029
22,44356.54809799739
23,45958.24900453538
24,52224.3146849294
25,45844.845606133415
26,46853.35663753013
27,47867.59029651256
28,47804.46289760796
29,47693.61668365411
