,0.25
0,51330.13669521885
1,56938.81446258389
2,53839.409300806205
3,52695.16722391508
4,59327.55827699131
5,51764.91022428829
6,50471.29443398633
7,58301.96309918558
8,53665.85523102466
9,51566.72907431742
10,53909.11636907922
11,53530.0444042583
12,50464.59534890037
13,49854.46423791006
14,53335.82882531723
15,55089.16338811924
16,53573.49800035225
17,48472.83857723017
18,51300.75056654749
19,50320.78252171134
20,49790.70603449862
21,53170.69167590891
22,55544.87533591872
23,47998.7099899882
24,55322.43698458046
25,55355.88122895523
26,54209.735415364
27,56401.17549717252
28,53551.76801365627
29,51768.824811494684
0,50426.4994914368
1,53668.445215677784
2,52051.601545107354
3,51532.76205187274
4,52785.98657446745
5,53969.72281384278
6,54171.428325321875
7,53207.178881438835
8,52568.08868781487
9,58316.23329323647
10,50961.73437328317
11,49498.62188604916
12,56075.798219899654
13,56085.3545583218
14,55425.35740174595
15,47382.39446601384
16,49203.687971284235
17,54298.34175126734
18,51365.65583439136
19,53473.576030600205
20,51795.87021849109
21,56450.783804368446
22,48076.314041727914
23,52885.89622532512
24,53568.09776426554
25,48201.54736976834
26,60844.31446172945
27,51297.662982732305
28,57649.571288164865
29,54084.74578078962
0,55578.60081047992
1,53501.77965997759
2,54410.73955027199
3,53971.962148227954
4,53799.392353665884
5,49803.944063572286
6,49462.98280341482
7,56315.377326317765
8,51876.52612265476
9,48889.27869639156
10,58220.127684097315
11,52741.09920614706
12,49062.96998208011
13,54262.91104373174
14,52091.88595189368
15,53509.93901081001
16,52311.54176808287
17,56638.52131785641
18,50088.21980302426
19,55230.28768882854
20,50403.56408473475
21,55767.22405229067
22,48717.73539958614
23,51539.60558828972
24,49717.56135278692
25,53287.77508317933
26,54549.79803778527
27,49446.45280747008
28,48714.08313760199
29,51062.517700852695
0,53144.765101252444
1,54595.71613694632
2,53890.19943605877
3,49116.1876563569
4,56786.580992338386
5,52440.05242480696
6,52687.49441298133
7,54828.931662976276
8,51053.90260455529
9,54478.27152974431
10,56964.54043666256
11,58760.1825603527
12,53701.93154199752
13,56254.71591240904
14,50177.889824242935
15,57031.14645845182
16,50006.34394091406
17,49015.48424439737
18,50671.72008980498
19,48878.5070807392
20,53931.21668257947
21,49798.25727029407
22,53449.29481489891
23,58838.77316723145
24,54431.53593637448
25,51280.51648028353
26,52207.971038696734
27,52427.24978676461
28,59079.59598272511
29,53147.13058742585
