,50,num_discovered_nodes
0,29719.08232954298,90
1,27449.694512921214,91
2,31396.45079698856,97
3,32932.82022220402,94
4,29928.0480381233,94
5,29366.883389846927,94
6,28642.784845068207,91
7,32047.320131394546,98
8,29438.240284499505,96
9,30318.125429976717,99
10,31643.115050044606,98
11,32563.794454277733,91
12,30422.311459608693,90
13,31756.780050185684,95
14,32960.79688687588,98
15,28575.340464902165,95
16,29642.238327006413,98
17,31833.510988016733,99
18,28184.101993760054,92
19,27181.684158493426,94
20,31025.784709337655,91
21,29447.70770575326,99
22,29437.420205057126,97
23,30638.656389305488,97
24,27285.287765271354,96
25,27866.262015614855,92
26,30312.20458027465,97
27,27940.956509456322,91
28,28152.3298214351,94
29,31292.970705731295,93
0,30739.877605594513,99
1,29120.778861393486,98
2,29162.950901185413,96
3,28365.07912181564,89
4,32368.422400057498,97
5,28924.196494409796,97
6,29863.066902388062,93
7,30480.95710596548,90
8,29850.078721688387,95
9,32515.739383085947,97
10,32929.648598567146,95
11,30718.417955793775,93
12,31508.75007488163,97
13,31883.953285568074,98
14,32393.704768471707,94
15,27145.681909002033,91
16,29970.842617587386,95
17,31042.050106048315,98
18,31198.130274434654,98
19,32262.390113475925,95
20,30280.777451719838,97
21,30541.0427497216,95
22,29734.531605949964,89
23,30303.24136345183,98
24,29392.46970543819,97
25,31497.076028978325,95
26,30488.498984323054,96
27,31629.60018320981,97
28,31570.653807221825,94
29,32130.359941034127,96
0,31768.538806335582,97
1,30123.931640878065,93
2,32928.175303482996,93
3,31400.34679133465,97
4,31916.674369246415,95
5,33881.91106496639,96
6,31108.562491400156,96
7,30636.677190861334,93
8,28966.855225193474,97
9,30461.694823808488,93
10,26873.092561829508,94
11,29891.264868685932,95
12,30459.48524874643,93
13,31568.853991388656,97
14,29707.55624269382,94
15,31625.669758901244,98
16,29713.009919087945,93
17,30089.410400027427,97
18,32657.606537279713,95
19,28362.344508625258,95
20,29232.53492197915,96
21,31676.103488800916,98
22,29462.844860434838,97
23,32024.73499273977,99
24,34952.587708516294,98
25,33442.21220125547,95
26,28503.540236899993,92
27,32946.73213201879,95
28,29322.526434783,96
29,29597.91771982468,96
0,33628.18536854839,94
1,31135.025388700633,90
2,30911.68613954693,97
3,29585.780378736537,96
4,28353.138064526105,96
5,29811.851884087373,97
6,29085.520604725112,98
7,29667.81921335847,95
8,29328.795857734825,93
9,29976.98848737183,96
10,32455.243466688786,98
11,28052.454336361418,97
12,29345.245405290578,93
13,31895.15943133861,95
14,29419.38482285871,95
15,30849.918622536417,97
16,28723.669470100544,99
17,31212.361376639852,98
18,30368.122095349245,95
19,29382.772782310713,97
20,31206.73352777983,91
21,29481.713560246146,96
22,30017.9139397132,95
23,29890.550127854316,96
24,28853.384519041523,95
25,30862.88887931518,96
26,30876.049130066585,89
27,29306.117156173357,96
28,30503.867278008172,98
29,31536.40444123406,98
