,distance,num_discovered_nodes
0,28209.265337548353,145
1,28517.241904292565,144
2,28221.681149145443,143
3,27280.2775277587,142
4,28606.69015751691,145
5,25662.722921281398,143
6,29065.38519450822,143
7,28871.47808977973,142
8,27022.805769396524,144
9,28817.20309178064,142
10,30535.298868758873,147
11,28245.047278899456,143
12,27223.946358307705,142
13,29025.803659264406,139
14,26641.52271458838,143
15,25988.41098540185,141
16,27115.16524439007,143
17,26248.777254174736,141
18,27862.948518216614,141
19,29064.21988953269,145
20,26515.177751439038,143
21,27898.6793533179,144
22,26503.4448949664,147
23,26117.940695995774,140
24,25882.250614481756,140
25,27424.69719872694,143
26,27288.329780865843,145
27,29283.52619711271,143
28,26110.097886790754,144
29,30265.342275340296,142
30,27776.18679907367,143
31,27386.105696863473,145
32,25847.368771669364,142
33,28987.43787642128,143
34,27326.88393695059,141
35,30108.495817586503,140
36,27805.46362150309,143
37,28514.603551551052,144
38,26694.042984098865,143
39,29869.2715090425,146
40,27864.362249551632,141
41,28457.988116059474,145
42,27163.80942793761,142
43,27827.775426256754,141
44,28158.08246265945,141
45,28818.402616988955,142
46,29360.400971170915,144
47,26509.177931165545,144
48,27743.153891200647,143
49,26572.972519778818,144
50,27824.54577810174,145
51,27957.62352215556,143
52,28502.207835329333,142
53,27626.13792216041,142
54,26500.501032794706,143
55,30634.621115542206,144
56,29924.293327374304,143
57,27759.009153264815,141
58,26091.974148837915,141
59,26604.41865586405,144
60,28466.96022124062,146
61,27685.651033606755,144
62,27906.2157452324,145
63,30724.59575943993,143
64,28903.151573552543,145
65,31173.5198566972,143
66,28287.973645463397,143
67,26396.821096689404,140
68,28772.82042740016,143
69,27964.825188956613,143
70,30006.301833906808,144
71,27772.08650530229,145
72,28029.65381527023,146
73,29375.383365065998,141
74,26318.368646553554,141
75,29295.570463550193,143
76,26595.947978291417,139
77,29381.56211699641,143
78,25078.862867801974,140
79,27391.640700637014,143
80,28338.362125663585,144
81,29599.018678892102,144
82,26523.073059487226,140
83,25892.4989447415,140
84,25785.268502669678,146
85,26378.975004041,141
86,25512.17103789698,145
87,30690.20906803623,147
88,29411.373696363065,145
89,28061.14396527345,139
90,25519.302842674035,143
91,25999.058052164783,144
92,29758.939911087957,147
93,28933.717612585428,144
94,29229.50519420194,144
95,28000.019056514862,141
96,27243.943978445684,144
97,29040.802435844613,145
98,26941.81597444866,141
99,27120.71490702918,141
100,27832.03943265375,141
101,27726.06377301195,142
102,27830.003030939726,142
103,28872.596450578698,145
104,27417.421050486155,141
105,29250.028277905636,145
106,26863.196431402423,144
107,30259.96956190433,146
108,28011.08194361656,144
109,27637.849173316332,143
110,27300.819696931834,145
111,29091.742769907658,142
112,28762.27616244339,142
113,30479.0378357269,145
114,29454.69320687633,144
115,29483.08490372031,143
116,29143.928190987535,147
117,27654.99012113457,147
118,26538.2632400608,142
119,27374.441615858046,144
