name,distance_mean,distance_std
p100,32617.40916392302,1151.7167186535967
p101,38834.013159096314,1502.7707078354917
p82,35862.08033446655,1655.3568493671562
p83,31596.842430478617,1295.2297351571217
p84,28526.999129112526,889.5317904179271
p85,34715.64650913125,1345.0035750804582
p86,25617.351951753608,1071.2758583965576
p87,34828.57787414994,1088.5093402538928
p88,26805.183698088327,713.8973613070817
p89,35631.70564168941,1591.0790917843851
p90,41224.12215944684,1557.5710162036873
p91,33098.38694719623,1151.3169642209677
p92,34769.27441571793,1294.168504359106
p93,31344.40721044903,1543.9418336310005
p94,44430.56126357149,1686.0009342124422
p95,46470.839628585534,1434.0878754116977
p96,42777.53675188151,1921.3083449433386
p97,26594.276619542274,803.3142810101298
p98,25393.05571816066,1052.9493995022513
p99,28633.640780132384,1206.968097277482
