name,distance_mean,distance_std
p100,37167.67018231297,2228.813990019347
p101,43320.41010967692,2214.244626311354
p82,40933.49671617908,2009.8775973331497
p83,37316.325810392416,1671.6296478421573
p84,33481.89212436825,2496.2034427923427
p85,40066.77959162275,1823.0279615467753
p86,30732.821882725293,1718.848615809846
p87,42372.54515802167,2668.805789895558
p88,29906.9567797811,1495.663639377696
p89,43976.26384902871,2588.538855178897
p90,50504.85145004313,2463.472029605833
p91,37880.98688325075,1888.230655825839
p92,39378.722561388124,2145.538751741396
p93,37460.993723657215,2653.34937518932
p94,53095.5908416427,2740.52072470645
p95,60667.405606605476,2632.2415808700857
p96,51479.30577252342,3156.108005811132
p97,30870.575237603676,1402.702781401097
p98,28794.267736986174,1378.3114236962322
p99,34958.21509796913,1857.2521168382298
