,0.5
0,41396.41504443315
1,43373.69520064798
2,43739.63900042693
3,43074.047364198974
4,43434.43583756955
5,41889.89141626888
6,44770.804997432664
7,44927.30766019679
8,42978.174016823796
9,43443.70079279869
10,40602.4383387588
11,43518.96909531352
12,40992.73275535551
13,42128.531580702125
14,45996.944781964674
15,42236.20051691799
16,43092.39317263831
17,45583.496419084215
18,42968.96867972318
19,43406.298805950326
20,44203.092219756545
21,44717.83382472768
22,38921.74416435088
23,42471.299183652794
24,42896.66129038064
25,45671.04723256152
26,45308.756795064386
27,43613.588200046084
28,43867.09872458667
29,44204.27287552938
0,43869.1453489106
1,43491.751279920325
2,39957.20594879187
3,42437.33511169264
4,40448.89514950208
5,41330.90220748442
6,43334.81185205509
7,45650.49066505975
8,43167.13984396099
9,42342.351525193975
10,43591.29469259586
11,43625.61379547054
12,43114.520311336455
13,42268.08384898662
14,40264.52146228512
15,44141.50207872516
16,43467.21999681824
17,41466.93329449027
18,43918.356862093504
19,40519.566177371504
20,42763.91542196832
21,41351.84009215003
22,43461.52496457849
23,42544.19435806928
24,43444.37300467568
25,44042.15470009726
26,43894.52305232483
27,41750.83624981304
28,44423.01753084248
29,43739.951954336364
0,43909.77719580007
1,44651.19676623499
2,40385.023919364416
3,43998.34910250099
4,46116.12317700026
5,42479.484339527364
6,42271.21394212219
7,41253.18345552916
8,46587.96745026648
9,45795.36937480631
10,43671.17859966735
11,44642.250105782376
12,41420.67457693433
13,43321.38237687175
14,43212.22452752155
15,48077.631090746734
16,44257.69140458619
17,40777.68505201438
18,43205.03846759171
19,41769.82716579094
20,45102.91141024567
21,42775.85946740192
22,42358.688096402984
23,45903.75154724834
24,42822.144886081966
25,44292.55227796214
26,41695.410328497535
27,43726.51147449117
28,44477.31283717115
29,42684.51515837415
0,40453.29722863035
1,44995.961031436455
2,43153.18754819764
3,43640.41495244317
4,42498.116263063814
5,42492.285017919865
6,41256.88266423186
7,42589.750601351356
8,44378.658160715604
9,45107.85233205057
10,42019.92180375389
11,44542.319635508546
12,43461.76917627364
13,43042.39994412565
14,41344.45254487195
15,42924.74971219248
16,41366.53092044166
17,42480.27970809406
18,42347.711726473084
19,39416.39923100213
20,45931.405014515694
21,43960.875987542946
22,42444.93887479285
23,42548.583697494374
24,41307.7399961022
25,44324.49623383444
26,42748.811631720884
27,41152.87321500176
28,43620.77014983607
29,46097.6021493719
