,0.25
0,38908.45681080507
1,34447.779266849415
2,34960.468261938295
3,34964.33498357341
4,39364.66668033003
5,34488.17352869203
6,39767.6272906672
7,38963.17504689852
8,36714.86995428129
9,34525.0872175356
10,36215.501427516894
11,35999.068147206206
12,36394.69337696644
13,36675.45099065691
14,35867.276701134695
15,39034.090782983236
16,33669.95072705763
17,38332.588640910086
18,35691.10587649005
19,34023.08667633832
20,36307.14316304871
21,38522.2934991255
22,35809.29629996157
23,40326.06393570198
24,34180.164179558684
25,35751.51096604086
26,38664.941041337304
27,34550.30013487602
28,38625.33821256909
29,36246.992408046855
0,35409.14974942477
1,37966.114595831394
2,35781.71676803171
3,37286.17618956134
4,35293.656694348545
5,33848.936582944385
6,35833.312901622565
7,36418.90141796814
8,38491.545180137364
9,35252.77802633716
10,35004.32752789647
11,37961.16316067286
12,34496.07611661251
13,35922.04259127846
14,34996.401855130185
15,39311.48285333048
16,35646.41485299335
17,34043.87975726889
18,34331.54798616666
19,38871.29773328705
20,36371.54358978962
21,34364.20545910631
22,35763.73245805876
23,33505.73463429722
24,33113.91710642499
25,33898.216689126726
26,37093.77646390624
27,37653.18986464677
28,35850.31219858651
29,36462.081431228435
0,35735.39290022847
1,36290.83027700773
2,36134.76332343215
3,34925.86550352633
4,33702.10090418421
5,35087.3863439278
6,37785.55487052413
7,33984.740513581615
8,36233.5332071074
9,37344.30039760385
10,35927.259582495666
11,39751.068165765646
12,33187.89385670752
13,39524.546531751614
14,35384.4941310561
15,36736.62096841071
16,38448.718371798976
17,35635.431132888676
18,36115.63646084265
19,35812.7429475324
20,39188.948699374196
21,34471.40474638406
22,37035.73467260799
23,38337.88112630831
24,39325.87673669416
25,35158.83471815025
26,35985.95751229191
27,36371.097800947275
28,40261.45137612832
29,35631.39297559468
0,35193.2961250494
1,39288.859227981666
2,35745.02316163969
3,34975.530279032675
4,37149.78693725933
5,35096.18048765148
6,38814.480183886466
7,36721.367296996905
8,34199.48905842823
9,36091.724856422275
10,35972.69546414907
11,38516.39391906428
12,36433.09792553586
13,36912.13047242073
14,38831.66107865937
15,35592.473538860126
16,34427.27169669046
17,39557.06807437291
18,35735.36708153832
19,39518.387845787525
20,37841.46092731809
21,35134.04407286664
22,35168.99145459045
23,35999.283877597154
24,37783.923811773915
25,37588.095997176475
26,39130.79593097352
27,34584.9744927675
28,37346.97514347985
29,38009.75250889567
