,100,num_discovered_nodes
0,33666.64314857627,99
1,33220.46754325017,100
2,34991.262653732265,100
3,34135.31113247793,100
4,32000.12155124948,99
5,34377.24403238216,99
6,32885.076802309864,100
7,34536.16229890003,100
8,33138.08130038339,100
9,33604.17161258105,100
10,35255.69758561707,100
11,34878.10989538332,100
12,34879.37314185571,100
13,37105.067008320024,100
14,33828.437612726404,99
15,33074.20725216345,100
16,34316.43987922082,100
17,32401.55171048097,100
18,35749.576203319666,99
19,33975.12149847955,100
20,33503.056737430656,100
21,32441.31826455769,100
22,33529.054887435865,100
23,33965.189531541364,100
24,35365.976407902934,100
25,34666.66294490813,99
26,33486.08993190063,100
27,33626.14602531874,100
28,34094.3564836287,100
29,34981.86158298161,100
0,32726.760364143905,99
1,35050.95915653523,100
2,33166.11508136276,99
3,35982.17046816399,100
4,33976.11632210374,99
5,34757.963680336274,99
6,34955.986159740605,99
7,34461.89941152433,99
8,34014.82599855196,100
9,32792.83153534359,99
10,32913.22674720382,100
11,32626.278496729454,99
12,33756.17956395397,100
13,34063.176403847174,100
14,32318.409907599784,99
15,34512.67384466932,100
16,36252.095107102716,100
17,33427.87732624024,99
18,35954.61059251534,100
19,35173.91937336269,100
20,34444.12270397532,99
21,36035.95666832911,100
22,33638.311611999256,99
23,34331.3787215998,99
24,35782.48507947695,99
25,34624.73986200653,99
26,34736.987373030584,99
27,34783.90734936668,99
28,37451.19256096375,99
29,34525.40849581541,100
0,32945.52277074326,100
1,36963.69568751739,100
2,35605.95961266084,100
3,34397.79894240222,100
4,33510.15343090465,100
5,36467.30071874156,99
6,33208.4639844559,99
7,34626.430297735395,99
8,36371.1111077,100
9,34706.18083315161,100
10,32723.714150983535,100
11,33431.71640493143,99
12,33585.30435624211,99
13,33363.97832205508,100
14,34944.335142304946,100
15,35152.95518846288,99
16,35558.69779147954,100
17,33076.3948471521,100
18,36705.419130479364,100
19,33051.40787662934,99
20,34114.55006956419,100
21,32930.30027714547,99
22,35423.06051340781,100
23,34600.70522674144,99
24,34688.177871135544,100
25,33972.55106364869,99
26,31166.049690786487,99
27,34243.014689294825,100
28,34662.290919515784,99
29,35794.813376689766,100
0,35918.1023756459,100
1,35926.398808339676,100
2,34814.80114219779,99
3,34422.650354835154,99
4,36951.214566764356,99
5,35761.25937638165,99
6,33347.24760573291,99
7,34641.94063543698,100
8,33869.714908575355,100
9,33854.52373555775,100
10,38912.24529134527,99
11,34100.73937979094,100
12,33558.42109005813,100
13,32347.53352388921,100
14,34699.3813825575,100
15,34561.46022388612,99
16,35570.555081138,99
17,34482.051790288984,100
18,35281.03593408236,100
19,32584.005512891552,99
20,35046.73010473151,99
21,34745.250271143974,99
22,34972.7618536673,100
23,34401.97011244482,100
24,35065.44489705453,100
25,32561.452489403422,99
26,33827.534640110025,100
27,35598.849972969656,100
28,32763.781884770066,100
29,32207.771621392672,100
