,distance,num_discovered_nodes
0,34751.16844227803,149
1,35057.299817374755,149
2,34277.65026569826,149
3,34934.02072674906,149
4,36271.03361589698,150
5,35020.01555045389,150
6,36792.40864324781,149
7,35039.32941145372,149
8,36438.24672277554,150
9,33928.84102772016,149
10,35104.843444978775,149
11,33860.567628075056,149
12,33548.85512393225,149
13,33353.48117255629,149
14,34107.16847804484,149
15,35043.87276700885,149
16,34322.086484083375,150
17,34364.172046482374,149
18,34678.60627913485,149
19,32912.47401055369,149
20,33992.55343482719,149
21,35449.60727504765,149
22,33091.60104874142,150
23,35172.54262605813,149
24,35452.936257292014,149
25,33356.46968166263,149
26,34420.638002795764,149
27,33211.72644850015,149
28,32488.13813376701,149
29,34271.129271959864,149
30,33906.39617563134,149
31,36384.48460877539,149
32,33313.67730471955,149
33,32299.344979983147,149
34,32198.676774753003,149
35,34021.28817241238,150
36,34828.156571626554,149
37,32108.18612070384,149
38,33824.12117840117,150
39,36354.11661049228,149
40,34017.93742628979,150
41,32831.904272546184,150
42,33079.49554497745,150
43,36220.54638633567,149
44,37436.21240191499,149
45,34135.21601235629,149
46,37302.87653605193,149
47,33557.34623846909,149
48,35607.1489894663,149
49,35003.31023144836,150
50,33563.9350352455,149
51,34148.929397389395,150
52,34459.21022351179,149
53,35313.23639092008,149
54,32727.99000322579,149
55,33109.18819008889,149
56,33540.60110996641,149
57,34791.81262796861,149
58,33248.967124621064,149
59,35767.78586885283,149
60,32083.476197157932,149
61,35019.62559076551,150
62,33963.01346065249,149
63,33207.209885084376,149
64,35104.29894844953,149
65,34074.95487350757,149
66,34277.06202291665,150
67,35997.946676004656,149
68,34973.39003848998,149
69,30971.243348149605,149
70,33681.413376124,149
71,33687.215453912046,149
72,34318.4974201371,149
73,34586.91367602915,149
74,33444.52352344946,149
75,33709.959377406776,149
76,33768.28679302504,149
77,34595.55211036903,149
78,34009.634831131196,149
79,34725.69713795179,150
80,33483.59589068824,149
81,33904.590245551124,149
82,35435.19204284047,150
83,34192.43417301457,149
84,34742.576997936914,149
85,33340.07483567303,150
86,31358.507066099748,149
87,35073.55526015806,149
88,35223.696348012454,150
89,37444.467621527605,150
90,34277.913244690586,149
91,33106.718938103564,150
92,35818.027787199506,149
93,33463.712935646385,149
94,35532.78915253207,150
95,37434.377650611146,149
96,30939.817489586225,149
97,34404.68321157471,149
98,33727.05268518888,149
99,34279.34637420455,150
100,33054.46840426482,149
101,33942.63844553294,150
102,34627.00706589987,150
103,34202.97277275653,150
104,33336.428917121615,149
105,35969.865032138434,149
106,32507.189829926105,149
107,35587.69144114901,149
108,34864.29967396056,149
109,35978.23731284789,150
110,34775.32164687955,149
111,33984.67857774297,149
112,34882.287034221874,150
113,32722.074140357337,149
114,34457.01913952524,150
115,32924.383044773786,149
116,34943.341668361674,149
117,34617.04069537745,149
118,33338.02882316796,149
119,32267.223479059026,150
