,40,num_discovered_nodes
0,38930.011172555096,99
1,36730.012954626094,105
2,43454.36535523385,118
3,39832.94056768598,108
4,37246.35114995065,110
5,44167.63354674863,106
6,40556.727783597766,105
7,37108.36435654893,96
8,38447.641888344595,102
9,37226.97010362265,107
10,37702.797372201356,97
11,37170.78052991875,101
12,44306.26221977731,111
13,39577.439610585476,108
14,43198.59385784236,115
15,34357.06965146881,94
16,39018.69985255876,102
17,35610.90179095694,97
18,34010.00912514074,94
19,43472.07618911136,108
20,44026.217358080765,116
21,36228.36250560126,99
22,46250.88343428335,115
23,38462.309834339205,101
24,40440.771150310255,109
25,44355.583191833786,106
26,36082.844889210144,99
27,43489.12833492975,115
28,46812.97478966396,117
29,35925.0434943479,97
0,38322.0502561918,105
1,40511.76146032028,109
2,45615.65069757182,119
3,39763.0501748803,102
4,43575.410829549066,110
5,46065.936931742006,120
6,42766.115675914516,113
7,42957.69419115713,111
8,41838.03717527618,111
9,37726.2261801607,97
10,42357.75061269815,112
11,33365.769999777534,90
12,36909.167426546854,101
13,45495.803409345965,120
14,33084.420958639,82
15,44065.61742366678,109
16,37669.032284501714,102
17,42095.24776861272,106
18,42924.21239304875,117
19,40636.97788751701,105
20,38618.888397888295,104
21,35827.57596620989,95
22,38228.439627235166,103
23,45160.91235621576,115
24,47347.59128658367,123
25,42950.476500372286,107
26,38882.951189163585,97
27,39650.93875625312,114
28,40481.477432959095,107
29,42973.43857764983,109
0,45770.20313120604,122
1,34166.52911966138,90
2,35929.58320433743,96
3,43548.09089394415,117
4,46538.526865134256,115
5,48260.863781985165,117
6,45962.168505962516,122
7,41132.55975486355,102
8,38887.13680041318,98
9,35930.00802822604,97
10,40316.34062741671,109
11,35793.22301717278,93
12,36009.772433012586,101
13,36817.966943726504,105
14,41299.704178247506,117
15,46660.80954065102,121
16,36707.35228883562,91
17,43752.08371545448,104
18,41784.77400210211,111
19,43220.09572730688,111
20,39637.151252012125,105
21,42409.82992368631,102
22,39008.153690526946,115
23,42099.02252446075,105
24,44611.403251181044,118
25,39933.60450073893,104
26,46229.62751396937,116
27,44314.51492446001,109
28,39259.876482871514,104
29,42702.67163882965,117
0,43995.30883962109,112
1,33312.99128299048,93
2,38815.97217899552,105
3,35107.992331741014,95
4,47771.16223398962,120
5,51382.53838650562,128
6,43734.63494192779,113
7,43563.86960699632,107
8,39528.21016017731,109
9,41718.26052284878,112
10,45505.02081129224,116
11,40244.010939237436,102
12,41916.534934903546,110
13,37153.00305497766,98
14,43367.99692408945,110
15,42358.220194711015,111
16,39283.11573821199,108
17,29521.56415989709,81
18,45250.58195462714,112
19,43204.8411349028,108
20,41250.30738834836,108
21,32600.694750825693,91
22,42351.592990938145,120
23,44914.27269559976,105
24,42522.35935979962,112
25,41303.88279998507,112
26,38875.76035252855,100
27,39558.776971194144,98
28,41918.31542682969,107
29,40809.61400779345,109
