,0.75
0.0,43384.997850651496
1.0,45131.97450786492
2.0,45660.828386161775
3.0,45026.570087125896
4.0,45797.595415583964
5.0,44502.95534461461
6.0,41881.040085342116
7.0,45106.653457585126
8.0,46081.66162345493
9.0,44584.787228159716
10.0,46032.98393795653
11.0,41615.16965440873
12.0,42343.005810086266
13.0,44423.10554809681
14.0,44327.32821115401
15.0,43708.477739317015
16.0,44646.275885759904
17.0,43248.673219828255
18.0,46181.984262285085
19.0,43194.09086714053
20.0,43802.981155668764
21.0,44100.57477404962
22.0,42301.61596201338
23.0,45107.57360904106
24.0,45872.51177189925
25.0,44189.696331045394
26.0,44075.25655788751
27.0,42210.284522704
28.0,43078.502696544914
29.0,46219.99258781692
0.0,44964.535714243015
1.0,44894.67515411044
2.0,41100.84444416701
3.0,45979.63010407656
4.0,42657.83163505545
5.0,47525.36265698706
6.0,46383.28337444436
7.0,41566.9792492543
8.0,44113.52478037889
9.0,43064.786440204734
10.0,42819.639237104
11.0,44105.34293969518
12.0,42791.38447413969
13.0,41641.94788935396
14.0,45045.83186941488
15.0,42049.2545307309
16.0,41517.58271504793
17.0,43776.32328750669
18.0,43709.406460018836
19.0,44521.95198078794
20.0,45675.37961624641
21.0,42709.80235902327
22.0,46303.04574779803
23.0,42235.69961544192
24.0,42989.089589341114
25.0,44267.47698535356
26.0,45473.186162143065
27.0,41847.595488816405
28.0,43466.794673543205
29.0,45186.9195141533
0.0,43447.047469998506
1.0,45969.587309583396
2.0,47157.939816841885
3.0,44909.33801447243
4.0,45363.953253094216
5.0,44489.202211293035
6.0,45143.98495607988
7.0,46934.0496221044
8.0,42626.66211270541
9.0,44048.43709120837
10.0,47406.75407629988
11.0,44032.21354175332
12.0,44741.45598383698
13.0,44344.502072313495
14.0,45752.78305324418
15.0,45568.05577168499
16.0,43101.04662437916
17.0,46505.307926371526
18.0,43590.800158504084
19.0,44739.43753822631
20.0,44826.62991419723
21.0,48736.31175765568
22.0,43880.443438493734
23.0,44987.69207169581
24.0,45921.2683465598
25.0,44845.41594375565
26.0,44677.09064853031
27.0,45627.88932207788
28.0,43468.47495346825
29.0,45864.23956093903
0.0,43080.57111516511
1.0,42231.94881650856
2.0,47902.362697986086
3.0,48732.54092497792
4.0,43622.5215791988
5.0,47044.866702933214
6.0,42754.53737286572
7.0,44697.83829259538
8.0,44182.374780054364
9.0,42893.992858443635
10.0,45328.90462216648
11.0,43285.007565633874
12.0,44289.73625324488
13.0,45080.47414436039
14.0,46426.480975574545
15.0,44531.631331613855
16.0,48028.21976116675
17.0,45923.53004420643
18.0,42546.8305622255
19.0,41388.68939182962
20.0,45610.9990218028
21.0,44368.4608250883
22.0,43937.59108488563
23.0,43867.79068311455
24.0,41573.9510114192
25.0,43066.32253803183
26.0,43902.5196454089
27.0,42805.047496920735
28.0,45228.51933933562
29.0,41686.50476187308
