,0.75
0.0,70243.77832005026
1.0,71684.71448283753
2.0,75518.9704227042
3.0,73457.84963566122
4.0,70214.39903630788
5.0,68599.29198563
6.0,69448.13668740554
7.0,71495.52876513543
8.0,72418.81791552824
9.0,65553.57330132206
10.0,75646.69024665352
11.0,70706.66957916884
12.0,67909.30466544659
13.0,71849.74336509283
14.0,78932.29255148108
15.0,72096.94410086285
16.0,69660.52736413294
17.0,73215.92547676529
18.0,69716.90436630318
19.0,75180.13045721258
20.0,67511.21971041618
21.0,69916.3788349846
22.0,76186.70477600898
23.0,71416.62885027008
24.0,79395.30549866815
25.0,66363.72157329667
26.0,76735.52254693146
27.0,76116.31222925884
28.0,66677.68062941685
29.0,69545.694346718
0.0,72748.97597701347
1.0,74702.47491336077
2.0,65897.99628984075
3.0,73824.72822749449
4.0,72540.55866097192
5.0,73837.60409890366
6.0,70363.32263677285
7.0,72713.91332330082
8.0,68099.62404676028
9.0,74270.2218610508
10.0,72930.60439087315
11.0,73774.20882691744
12.0,71932.57888033526
13.0,73156.81671492141
14.0,74724.4894229607
15.0,70072.51479681526
16.0,72057.11954590457
17.0,75012.83609534358
18.0,71133.54157134077
19.0,65977.49445637176
20.0,75409.84777289737
21.0,70465.65942514461
22.0,73439.77195779423
23.0,73320.30103315349
24.0,71508.6035477423
25.0,70906.31826606508
26.0,73618.03568672968
27.0,65381.07304880131
28.0,71757.08588165803
29.0,74019.70071021673
0.0,73061.0627414745
1.0,76804.92572093014
2.0,73985.03903140653
3.0,68721.09880924507
4.0,68811.50437868343
5.0,73406.625198758
6.0,69810.02099566202
7.0,74249.81684169178
8.0,69944.49375458143
9.0,72156.92247978612
10.0,71416.14574397296
11.0,71623.67658478432
12.0,72031.11013213497
13.0,74437.81240414559
14.0,70126.45727586465
15.0,70529.02982543214
16.0,71896.45375275564
17.0,71329.60071318537
18.0,66732.16032575867
19.0,69321.320734403
20.0,71173.58316825582
21.0,69651.72661735193
22.0,67254.12462634998
23.0,71273.18724843267
24.0,67506.82417793601
25.0,72610.70816117543
26.0,73153.76645876965
27.0,73171.71965902495
28.0,72496.04634064635
29.0,72431.10898612057
0.0,75122.94925848853
1.0,63773.709029867765
2.0,67271.82223313478
3.0,73894.87530516722
4.0,71914.02810693612
5.0,71393.09251579981
6.0,69617.82246329437
7.0,69753.37640641411
8.0,64058.29059003282
9.0,76480.83124952843
10.0,76954.11823115175
11.0,71187.25536072472
12.0,70087.4938043968
13.0,73330.72284215431
14.0,73136.01683869949
15.0,73750.19071545785
16.0,70822.18028229156
17.0,74323.21980343427
18.0,75941.6773698725
19.0,70044.77353553474
20.0,73443.98617534862
21.0,76009.60442134719
22.0,76748.85221354886
23.0,74682.29266903238
24.0,75120.21621177388
25.0,74077.36608443724
26.0,70421.24653115052
27.0,72778.59108531057
28.0,68118.42942024324
29.0,70348.4361240397
