name,distance_mean,distance_std
p102,32725.157382164252,4530.355602570505
p103,33326.4565170544,4560.753527798061
p104,29940.075056795646,4130.349129002429
p105,39558.77186423044,5526.469074747557
p106,46335.93448595257,6377.827407657383
p107,40268.855939951856,5454.118451574059
p108,34974.641331728664,4876.18831346936
p109,35376.01608973711,4793.937850819931
p110,34132.69434208582,4728.8549149915325
p111,28678.40584828394,3945.5020796085437
p112,34572.525115452205,4828.436491218721
p113,42856.607526631225,5902.062282000406
p114,38265.77217012221,5243.650975145515
p115,40314.44796350207,5517.1242337602125
p116,28805.37686845595,4030.0191811575423
p117,38297.56366689591,5297.813616999773
p118,33713.20700235572,4627.396266590234
p119,39939.71172486937,5408.384681752864
p120,31232.38854455921,4287.263476135107
p121,31961.42041416046,4373.891135336237
