name,distance_mean,distance_std
p102,59509.27592393514,8245.528315679374
p103,61091.35435885341,8550.243866329614
p104,51980.99772289131,7022.834469277286
p105,74146.16940964892,10132.435567752056
p106,87182.64849873725,12402.637509360138
p107,73053.19373621789,9892.694492321729
p108,61843.00790735646,8571.246780627755
p109,62454.73310261656,8659.823492549242
p110,63566.91366385732,8725.6619386864
p111,52143.153348821645,7211.548322030522
p112,62169.17040032579,8617.692089507389
p113,79780.39770814209,10874.228797362664
p114,70295.24903903382,9686.25718871923
p115,74868.07626610229,10263.531903786163
p116,52581.40921285909,7341.353188354306
p117,70705.149734248,9725.584574126731
p118,61015.79344276798,8530.123515577241
p119,73415.69919966359,10348.33472865072
p120,54879.43593406387,7522.564635419214
p121,58930.16220256997,8095.638175347657
