distance,distribution,trigger,dod,instance_name
27603.292562163337,C,endogenous,0.25,p100
30051.525428547422,C,endogenous,0.25,p100
26918.518158065635,C,endogenous,0.25,p100
28980.671745598574,C,endogenous,0.25,p100
28492.77413727769,C,endogenous,0.25,p100
30544.669792879904,C,endogenous,0.25,p100
30466.806460320982,C,endogenous,0.25,p100
28299.040611877565,C,endogenous,0.25,p100
29763.22490273413,C,endogenous,0.25,p100
29099.93577043092,C,endogenous,0.25,p100
28601.622073914015,C,endogenous,0.25,p100
30454.571845487706,C,endogenous,0.25,p100
31061.104336475426,C,endogenous,0.25,p100
29447.965194644337,C,endogenous,0.25,p100
29794.02670225614,C,endogenous,0.25,p100
31949.828299229,C,endogenous,0.25,p100
33486.599419668026,C,endogenous,0.25,p100
28194.357709678032,C,endogenous,0.25,p100
33670.62641875003,C,endogenous,0.25,p100
27743.63175577532,C,endogenous,0.25,p100
28177.5686575649,C,endogenous,0.25,p100
29641.444854969683,C,endogenous,0.25,p100
29327.533884522272,C,endogenous,0.25,p100
30713.767574826026,C,endogenous,0.25,p100
27727.291389327653,C,endogenous,0.25,p100
28496.086654058825,C,endogenous,0.25,p100
30204.33798014338,C,endogenous,0.25,p100
28992.277477852804,C,endogenous,0.25,p100
30889.760609964847,C,endogenous,0.25,p100
29420.712769696976,C,endogenous,0.25,p100
29830.485808294394,C,endogenous,0.25,p100
29627.324913605702,C,endogenous,0.25,p100
30078.619458509518,C,endogenous,0.25,p100
30025.56664416881,C,endogenous,0.25,p100
28840.62491009276,C,endogenous,0.25,p100
29242.20654194787,C,endogenous,0.25,p100
30722.527565495562,C,endogenous,0.25,p100
35166.08447993503,C,endogenous,0.25,p100
30451.904464372863,C,endogenous,0.25,p100
27391.03262531689,C,endogenous,0.25,p100
29503.229198758636,C,endogenous,0.25,p100
29862.011158722133,C,endogenous,0.25,p100
28461.48007354813,C,endogenous,0.25,p100
28570.826913276524,C,endogenous,0.25,p100
31771.304151051834,C,endogenous,0.25,p100
27608.458222981142,C,endogenous,0.25,p100
30066.19959912349,C,endogenous,0.25,p100
32844.683687142286,C,endogenous,0.25,p100
28121.55606107116,C,endogenous,0.25,p100
28264.057869684522,C,endogenous,0.25,p100
28451.816301570587,C,endogenous,0.25,p100
29705.363390533388,C,endogenous,0.25,p100
29190.323718765176,C,endogenous,0.25,p100
30891.42245098842,C,endogenous,0.25,p100
29528.203274353502,C,endogenous,0.25,p100
30173.588242966478,C,endogenous,0.25,p100
28421.339473436998,C,endogenous,0.25,p100
29826.32375286738,C,endogenous,0.25,p100
30719.016175761102,C,endogenous,0.25,p100
29509.678785577304,C,endogenous,0.25,p100
30187.0708784066,C,endogenous,0.25,p100
31892.85496541833,C,endogenous,0.25,p100
28156.781394645954,C,endogenous,0.25,p100
30871.920029167075,C,endogenous,0.25,p100
27386.26667286185,C,endogenous,0.25,p100
30059.823057231915,C,endogenous,0.25,p100
29569.932355597583,C,endogenous,0.25,p100
29276.930462321317,C,endogenous,0.25,p100
29006.998860945736,C,endogenous,0.25,p100
30336.461133211324,C,endogenous,0.25,p100
30082.034447068854,C,endogenous,0.25,p100
33980.447488753176,C,endogenous,0.25,p100
29006.71070634263,C,endogenous,0.25,p100
30519.769053658456,C,endogenous,0.25,p100
30449.841397939883,C,endogenous,0.25,p100
30546.334192773233,C,endogenous,0.25,p100
30746.331633472782,C,endogenous,0.25,p100
30684.825046370664,C,endogenous,0.25,p100
30792.77599638613,C,endogenous,0.25,p100
30731.299262597135,C,endogenous,0.25,p100
30162.789113453877,C,endogenous,0.25,p100
30330.041718839897,C,endogenous,0.25,p100
28469.31421366953,C,endogenous,0.25,p100
29631.940458039888,C,endogenous,0.25,p100
28814.79856308862,C,endogenous,0.25,p100
29377.989715177504,C,endogenous,0.25,p100
29161.242070982236,C,endogenous,0.25,p100
27996.21855341853,C,endogenous,0.25,p100
28529.065346086343,C,endogenous,0.25,p100
31616.166537980553,C,endogenous,0.25,p100
29823.060398076064,C,endogenous,0.25,p100
31928.918037802134,C,endogenous,0.25,p100
28092.651844682157,C,endogenous,0.25,p100
28608.716638973223,C,endogenous,0.25,p100
32153.744679938285,C,endogenous,0.25,p100
31471.0472153327,C,endogenous,0.25,p100
